"c_digo","nombre_variable","unidad","fuente","descripci_n","a_o_fecha","a_o_texto","pa_s_nombre","pa_s_c_digo","valor"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Barbados","BRB","5.51"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Barbados","BRB","5.75"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Barbados","BRB","5.66"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Nicaragua","NIC","3.64"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Bélgica","BEL","6.2"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Bélgica","BEL","6.23"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Bélgica","BEL","6.2"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Alemania","DEU","5.51"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Australia","AUS","7.02"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Australia","AUS","6.75"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Australia","AUS","6.73"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Austria","AUT","6.21"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Austria","AUT","6.23"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Austria","AUT","6.13"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Belice","BLZ","2.65"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Belice","BLZ","2.69"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Belice","BLZ","2.62"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Bolivia","BOL","2.2200000000000002"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Bolivia","BOL","2.58"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Bolivia","BOL","2.52"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Brasil","BRA","4.34"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Brasil","BRA","4.42"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Brasil","BRA","4.3"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Canadá","CAN","6.38"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Canadá","CAN","6.39"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Canadá","CAN","6.44"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Chile","CHL","5.29"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Chile","CHL","5"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Chile","CHL","4.93"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","China","CHN","4"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","China","CHN","4.22"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","China","CHN","4.13"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Colombia","COL","3.98"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Colombia","COL","3.99"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Colombia","COL","3.95"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Corea","KOR","6.51"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Corea","KOR","6.49"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Corea","KOR","6.49"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Costa Rica","CRI","4.5999999999999996"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Costa Rica","CRI","4.25"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Costa Rica","CRI","4.17"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Dinamarca","DNK","6.69"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Dinamarca","DNK","6.95"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Dinamarca","DNK","6.88"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Ecuador","ECU","3.36"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Ecuador","ECU","3.16"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Ecuador","ECU","3.09"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","El Salvador","SLV","2.79"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","El Salvador","SLV","3.14"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","El Salvador","SLV","3.04"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Eslovenia","SVN","5.5"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Eslovenia","SVN","5.58"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Eslovenia","SVN","5.46"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","España","ESP","6.15"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","España","ESP","5.66"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","España","ESP","5.66"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Estados Unidos","USA","6.83"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Estados Unidos","USA","6.58"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Estados Unidos","USA","6.61"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Estonia","EST","6.42"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Estonia","EST","6.34"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Estonia","EST","6.26"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Finlandia","FIN","7.16"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Gran Bretaña","GBR","6.91"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Finlandia","FIN","6.98"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Finlandia","FIN","6.85"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Francia","FRA","5.84"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Francia","FRA","5.82"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Francia","FRA","5.73"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Gran Bretaña","GBR","6.65"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Gran Bretaña","GBR","6.62"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Gran Bretaña","GBR","6.58"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Grecia","GRC","5.15"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Grecia","GRC","4.78"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Grecia","GRC","4.66"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Guatemala","GTM","2.79"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Guatemala","GTM","2.99"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Guatemala","GTM","2.92"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Guyana","GUY","3.43"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Guyana","GUY","3.27"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Guyana","GUY","3.21"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Haití","HTI","1.46"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Haití","HTI","1.36"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Haití","HTI","1.36"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Honduras","HND","2.52"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Honduras","HND","2.91"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Honduras","HND","2.86"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Hungría","HUN","5.4"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Hungría","HUN","5.21"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Hungría","HUN","5.14"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","India","IND","2.88"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","India","IND","2.76"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","India","IND","2.7"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Indonesia","IDN","3.55"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Indonesia","IDN","3.47"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Indonesia","IDN","3.35"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Irlanda","IRL","6.11"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Irlanda","IRL","5.83"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Irlanda","IRL","5.82"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Islandia","ISL","7.29"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Islandia","ISL","7.34"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Islandia","ISL","7.25"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Israel","ISR","6.13"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Israel","ISR","5.94"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Israel","ISR","5.8"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Italia","ITA","4.5199999999999996"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Italia","ITA","4.6900000000000004"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Italia","ITA","4.55"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Jamaica","JAM","3.81"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Jamaica","JAM","3.85"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Jamaica","JAM","3.82"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Japón","JPN","6.15"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Japón","JPN","5.82"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Japón","JPN","5.76"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Letonia","LVA","5.46"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Letonia","LVA","0"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Letonia","LVA","0"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Lituania","LTU","5.95"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Lituania","LTU","0"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Lituania","LTU","0"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Luxemburgo","LUX","5.93"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Luxemburgo","LUX","5.81"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Luxemburgo","LUX","5.69"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","México","MEX","3.76"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","México","MEX","3.87"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","México","MEX","3.75"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Nicaragua","NIC","1.85"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Nicaragua","NIC","2.17"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Nicaragua","NIC","2.14"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Noruega","NOR","6.96"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Noruega","NOR","6.83"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Noruega","NOR","6.81"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Nueva Zelanda","NZL","6.58"
